Summary date,Product,Income
2023-11-30,FPS,15000
2023-11-30,BACs,10000
2023-11-30,International Payments,25000
2023-11-30,Trade Loans,20000
2023-11-30,Deposits,30000
2023-11-30,Current Accounts,12000
2023-11-30,Term Lending,18000
2023-12-31,FPS,15500
2023-12-31,BACs,9500
2023-12-31,International Payments,25500
2023-12-31,Trade Loans,21000
2023-12-31,Deposits,31000
2023-12-31,Current Accounts,11500
2023-12-31,Term Lending,18500
2024-01-31,FPS,14000
2024-01-31,BACs,11000
2024-01-31,International Payments,26000
2024-01-31,Trade Loans,22000
2024-01-31,Deposits,32000
2024-01-31,Current Accounts,13000
2024-01-31,Term Lending,19000
2024-02-29,FPS,14500
2024-02-29,BACs,11500
2024-02-29,International Payments,24000
2024-02-29,Trade Loans,21500
2024-02-29,Deposits,32500
2024-02-29,Current Accounts,12500
2024-02-29,Term Lending,19500
2024-03-31,FPS,16000
2024-03-31,BACs,12000
2024-03-31,International Payments,27500
2024-03-31,Trade Loans,23000
2024-03-31,Deposits,31500
2024-03-31,Current Accounts,14000
2024-03-31,Term Lending,21000
2024-04-30,FPS,15500
2024-04-30,BACs,12500
2024-04-30,International Payments,28000
2024-04-30,Trade Loans,22500
2024-04-30,Deposits,33000
2024-04-30,Current Accounts,14500
2024-04-30,Term Lending,20000
2024-05-31,FPS,15000
2024-05-31,BACs,13000
2024-05-31,International Payments,29000
2024-05-31,Trade Loans,24000
2024-05-31,Deposits,33500
2024-05-31,Current Accounts,15000
2024-05-31,Term Lending,20500
2024-06-30,FPS,16500
2024-06-30,BACs,13500
2024-06-30,International Payments,30000
2024-06-30,Trade Loans,25000
2024-06-30,Deposits,34000
2024-06-30,Current Accounts,15500
2024-06-30,Term Lending,22000
2024-07-31,FPS,16000
2024-07-31,BACs,14000
2024-07-31,International Payments,31000
2024-07-31,Trade Loans,24500
2024-07-31,Deposits,34500
2024-07-31,Current Accounts,16000
2024-07-31,Term Lending,21500
2024-08-31,FPS,17000
2024-08-31,BACs,14500
2024-08-31,International Payments,32000
2024-08-31,Trade Loans,26000
2024-08-31,Deposits,35000
2024-08-31,Current Accounts,16500
2024-08-31,Term Lending,22500
2024-09-30,FPS,16500
2024-09-30,BACs,15000
2024-09-30,International Payments,33000
2024-09-30,Trade Loans,25500
2024-09-30,Deposits,36000
2024-09-30,Current Accounts,17000
2024-09-30,Term Lending,22000
2024-10-31,FPS,17500
2024-10-31,BACs,15500
2024-10-31,International Payments,34000
2024-10-31,Trade Loans,27000
2024-10-31,Deposits,37000
2024-10-31,Current Accounts,17500
2024-10-31,Term Lending,23000